2.3Am^-2 2GHz0.12257698482708553
2.3009999999999997Am^-2 2GHz0.12247790558320462
2.3019999999999996Am^-2 2GHz0.12236925391163062
2.303Am^-2 2GHz0.12225098626680048
2.304Am^-2 2GHz0.12212305001342655
2.3049999999999997Am^-2 2GHz0.1219853837614621
2.3059999999999996Am^-2 2GHz0.12183791799209241
2.307Am^-2 2GHz0.12168057564576075
2.308Am^-2 2GHz0.12151327338521993
2.3089999999999997Am^-2 2GHz0.12133592302776908
2.3099999999999996Am^-2 2GHz0.12114843323465542
2.311Am^-2 2GHz0.12095071156030314
2.312Am^-2 2GHz0.1207426666409224
2.3129999999999997Am^-2 2GHz0.12052421069609931
2.3139999999999996Am^-2 2GHz0.12029526229330803
2.315Am^-2 2GHz0.12005574928696043
2.316Am^-2 2GHz0.11980561150602265
2.3169999999999997Am^-2 2GHz0.11954480403776906
2.3179999999999996Am^-2 2GHz0.11927330016344789
2.319Am^-2 2GHz0.11899109424637071
2.32Am^-2 2GHz0.11869820473941389
2.3209999999999997Am^-2 2GHz0.11839467654287633
2.3219999999999996Am^-2 2GHz0.11808058358876318
2.323Am^-2 2GHz0.1177560309921487
2.324Am^-2 2GHz0.11742115645162851
2.3249999999999997Am^-2 2GHz0.11707613202106157
2.3259999999999996Am^-2 2GHz0.11672116448875719
2.327Am^-2 2GHz0.11635649613605666
2.328Am^-2 2GHz0.11598240453564501
2.3289999999999997Am^-2 2GHz0.11559920172325142
2.3299999999999996Am^-2 2GHz0.115207233427273
2.331Am^-2 2GHz0.11480687701946546
2.332Am^-2 2GHz0.11439853978444435
2.3329999999999997Am^-2 2GHz0.11398265604927188
2.3339999999999996Am^-2 2GHz0.11355968424333802
2.335Am^-2 2GHz0.11313010357046821
2.336Am^-2 2GHz0.11269441036296818
2.3369999999999997Am^-2 2GHz0.11225311408005953
2.3379999999999996Am^-2 2GHz0.11180673326165952
2.339Am^-2 2GHz0.1113557915295873
2.34Am^-2 2GHz0.11090081320351601
2.3409999999999997Am^-2 2GHz0.11044231940259405
2.3419999999999996Am^-2 2GHz0.10998082421661519
2.343Am^-2 2GHz0.1095168309326094
2.344Am^-2 2GHz0.10905082892570635
2.3449999999999998Am^-2 2GHz0.10858329065409478
2.3459999999999996Am^-2 2GHz0.10811466925502848
2.347Am^-2 2GHz0.10764539677416496
2.348Am^-2 2GHz0.10717588266007906
2.3489999999999998Am^-2 2GHz0.10670651300449277
2.3499999999999996Am^-2 2GHz0.10623765042575126
2.351Am^-2 2GHz0.10576963439120247
2.352Am^-2 2GHz0.10530278211777126
2.3529999999999998Am^-2 2GHz0.10483739022994343
2.3539999999999996Am^-2 2GHz0.1043737364687165
2.355Am^-2 2GHz0.10391208246392239
2.356Am^-2 2GHz0.1034526760988058
2.3569999999999998Am^-2 2GHz0.10299575504977855
2.3579999999999997Am^-2 2GHz0.10254154997474417
2.359Am^-2 2GHz0.10209028795012402
2.36Am^-2 2GHz0.10164219627653018
2.3609999999999998Am^-2 2GHz0.10119750596678201
2.3619999999999997Am^-2 2GHz0.10075645520919534
2.363Am^-2 2GHz0.10031929267278639
2.4419999999999997Am^-2 2GHz0.10008155343919446
2.4429999999999996Am^-2 2GHz0.10065425733985472
2.444Am^-2 2GHz0.10124214267776373
2.445Am^-2 2GHz0.10184480857075229
2.4459999999999997Am^-2 2GHz0.1024618065142716
2.4469999999999996Am^-2 2GHz0.10309263979130037
2.448Am^-2 2GHz0.10373676342790561
2.449Am^-2 2GHz0.10439358474543092
2.4499999999999997Am^-2 2GHz0.10506246426985692
2.4509999999999996Am^-2 2GHz0.10574271739229887
2.452Am^-2 2GHz0.10643361648868262
2.453Am^-2 2GHz0.10713439354566223
2.4539999999999997Am^-2 2GHz0.10784424333012471
2.4549999999999996Am^-2 2GHz0.10856232702799849
2.456Am^-2 2GHz0.10928777625283485
2.457Am^-2 2GHz0.1100196974240077
2.4579999999999997Am^-2 2GHz0.11075717635357497
2.4589999999999996Am^-2 2GHz0.11149928321374847
2.46Am^-2 2GHz0.11224507746881751
2.461Am^-2 2GHz0.11299361302369144
2.4619999999999997Am^-2 2GHz0.11374394333169133
2.4629999999999996Am^-2 2GHz0.11449512670683104
2.464Am^-2 2GHz0.11524623116676498
2.465Am^-2 2GHz0.11599633955181066
2.4659999999999997Am^-2 2GHz0.11674455445286681
2.4669999999999996Am^-2 2GHz0.11749000277209093
2.468Am^-2 2GHz0.11823184015343584
2.469Am^-2 2GHz0.11896925549661301
2.4699999999999998Am^-2 2GHz0.11970147449074801
2.4709999999999996Am^-2 2GHz0.12042776375151838
2.472Am^-2 2GHz0.12114743383173678
2.473Am^-2 2GHz0.12185984226651549
2.4739999999999998Am^-2 2GHz0.1225643961055388
2.4749999999999996Am^-2 2GHz0.12326055396053587
2.476Am^-2 2GHz0.12394782783903605
2.477Am^-2 2GHz0.12462578388998094
2.4779999999999998Am^-2 2GHz0.12529404332400454
2.4789999999999996Am^-2 2GHz0.12595228220694676
2.48Am^-2 2GHz0.12660023105349788
