2.652Am^-2 2GHz0.006810907899726655
2.653Am^-2 2GHz0.007429584880766461
2.654Am^-2 2GHz0.008049891511738237
2.6550000000000002Am^-2 2GHz0.008671340742043957
2.656Am^-2 2GHz0.009293458669962557
2.657Am^-2 2GHz0.009915783728274261
2.658Am^-2 2GHz0.010537868471723427
2.6590000000000003Am^-2 2GHz0.011159278970188395
2.66Am^-2 2GHz0.011779595620563698
2.661Am^-2 2GHz0.012398412742138444
2.662Am^-2 2GHz0.013015339357953288
2.6630000000000003Am^-2 2GHz0.013629998254255976
2.664Am^-2 2GHz0.014242026819706788
2.665Am^-2 2GHz0.014851075993659696
2.666Am^-2 2GHz0.01545681092452881
2.6670000000000003Am^-2 2GHz0.016058909977636662
2.668Am^-2 2GHz0.016657064787699766
2.669Am^-2 2GHz0.01725098052866777
2.67Am^-2 2GHz0.01784037445523301
2.6710000000000003Am^-2 2GHz0.018424976440262152
2.672Am^-2 2GHz0.019004528497215296
2.673Am^-2 2GHz0.019578784225723435
2.674Am^-2 2GHz0.02014750859906587
2.6750000000000003Am^-2 2GHz0.020710477689518184
2.676Am^-2 2GHz0.021267478401313707
2.677Am^-2 2GHz0.021818307743995007
2.678Am^-2 2GHz0.022362773341337985
2.6790000000000003Am^-2 2GHz0.02290069202165775
2.68Am^-2 2GHz0.023431890363234564
2.681Am^-2 2GHz0.023956203977411245
2.682Am^-2 2GHz0.02447347720186452
2.6830000000000003Am^-2 2GHz0.02498356313467438
2.684Am^-2 2GHz0.025486322738265975
2.685Am^-2 2GHz0.025981624756580765
2.686Am^-2 2GHz0.026469345409421783
2.6870000000000003Am^-2 2GHz0.02694936787917106
2.688Am^-2 2GHz0.02742158190467319
2.689Am^-2 2GHz0.027885883262096036
2.69Am^-2 2GHz0.028342173460315406
2.6910000000000003Am^-2 2GHz0.028790359058718
2.692Am^-2 2GHz0.029230351299153277
2.693Am^-2 2GHz0.02966206548945277
2.694Am^-2 2GHz0.03008542019041171
2.6950000000000003Am^-2 2GHz0.030500336869809783
2.696Am^-2 2GHz0.03090673928783623
2.697Am^-2 2GHz0.03130455246722641
2.698Am^-2 2GHz0.031693702431267984
2.6990000000000003Am^-2 2GHz0.032074115262578355
2.7Am^-2 2GHz0.03244571647129661
2.701Am^-2 2GHz0.03280843035768244
2.702Am^-2 2GHz0.03316217928384443
2.7030000000000003Am^-2 2GHz0.03350688305109512
2.704Am^-2 2GHz0.0338424580727038
2.705Am^-2 2GHz0.03416881690016308
2.706Am^-2 2GHz0.03448586782510405
2.7070000000000003Am^-2 2GHz0.034793514091395195
2.708Am^-2 2GHz0.035091653486057375
2.709Am^-2 2GHz0.035380177957810045
2.71Am^-2 2GHz0.035658973372458304
2.7110000000000003Am^-2 2GHz0.0359279186293058
2.712Am^-2 2GHz0.03618688661133247
2.713Am^-2 2GHz0.03643574273748178
2.714Am^-2 2GHz0.03667434579382814
2.7150000000000003Am^-2 2GHz0.0369025472736332
2.716Am^-2 2GHz0.0371201918775008
2.717Am^-2 2GHz0.037327117385411626
2.718Am^-2 2GHz0.03752315508291995
2.7190000000000003Am^-2 2GHz0.03770812899748847
2.72Am^-2 2GHz0.037881857503708996
2.721Am^-2 2GHz0.038044152456082385
