5.313Am^-2 2GHz0.20578588273401524
5.314Am^-2 2GHz0.20781043862511847
5.318Am^-2 2GHz0.20597265333139236
5.324Am^-2 2GHz0.226845782237559
5.33Am^-2 2GHz0.15994879243488105
5.3309999999999995Am^-2 2GHz0.22629869290311977
5.334Am^-2 2GHz0.127641195031443
5.335999999999999Am^-2 2GHz0.1276296104159848
5.337Am^-2 2GHz0.18191454391683132
5.338Am^-2 2GHz0.163599520939332
5.3389999999999995Am^-2 2GHz0.1829230172739381
5.34Am^-2 2GHz0.408309629371293
5.341Am^-2 2GHz0.4175117892191027
5.342Am^-2 2GHz0.3847652860127556
5.343Am^-2 2GHz0.3366856537807027
5.343999999999999Am^-2 2GHz0.23229154391018034
6.224Am^-2 2GHz0.10215058447786417
6.225Am^-2 2GHz0.10428583432673104
6.226Am^-2 2GHz0.10640261113984278
6.227Am^-2 2GHz0.10850051893700705
6.228Am^-2 2GHz0.110579184114675
6.229Am^-2 2GHz0.11263825540973962
6.2299999999999995Am^-2 2GHz0.11467740384110887
6.231Am^-2 2GHz0.11669632251877045
6.232Am^-2 2GHz0.11869472650353632
6.233Am^-2 2GHz0.12067235254391455
6.234Am^-2 2GHz0.12262895872110685
6.234999999999999Am^-2 2GHz0.12456432417868786
6.236Am^-2 2GHz0.12647824873329153
6.237Am^-2 2GHz0.12837055236888487
6.2379999999999995Am^-2 2GHz0.1302410748772957
6.239Am^-2 2GHz0.13208967532765337
6.24Am^-2 2GHz0.1339162315043651
6.241Am^-2 2GHz0.1357206394247606
6.242Am^-2 2GHz0.1375028127418272
6.243Am^-2 2GHz0.13926268218713908
6.244Am^-2 2GHz0.14100019488122426
6.245Am^-2 2GHz0.1427153138521133
6.2459999999999996Am^-2 2GHz0.1444080173040723
6.247Am^-2 2GHz0.14607829803417824
6.248Am^-2 2GHz0.14772616271847208
6.249Am^-2 2GHz0.14935163143025953
6.25Am^-2 2GHz0.150954736795528
6.2509999999999994Am^-2 2GHz0.15253552356867206
6.252Am^-2 2GHz0.15409404777239483
6.253Am^-2 2GHz0.1556303762603216
6.254Am^-2 2GHz0.15714458599439987
6.255Am^-2 2GHz0.15863676344703118
6.256Am^-2 2GHz0.16010700399595437
6.257Am^-2 2GHz0.16155541138031548
6.258Am^-2 2GHz0.16298209703202465
6.259Am^-2 2GHz0.164387179618068
6.26Am^-2 2GHz0.16577078440770446
6.261Am^-2 2GHz0.16713304277226732
6.262Am^-2 2GHz0.16847409161491061
6.263Am^-2 2GHz0.16979407295996515
6.263999999999999Am^-2 2GHz0.17109313337968626
6.265Am^-2 2GHz0.17237142352913673
6.266Am^-2 2GHz0.1736290977093521
6.2669999999999995Am^-2 2GHz0.1748663134185854
6.268Am^-2 2GHz0.17608323088001873
6.269Am^-2 2GHz0.1772800126430616
6.27Am^-2 2GHz0.17845682320124454
6.271Am^-2 2GHz0.1796138285758814
6.272Am^-2 2GHz0.18075119597992956
6.273Am^-2 2GHz0.18186909340589147
6.274Am^-2 2GHz0.18296768939222136
6.2749999999999995Am^-2 2GHz0.18404715266043636
6.276Am^-2 2GHz0.18510765186870745
6.277Am^-2 2GHz0.18614935534061083
6.278Am^-2 2GHz0.187172430851506
6.279Am^-2 2GHz0.18817704539340718
6.279999999999999Am^-2 2GHz0.18916336502291442
6.281Am^-2 2GHz0.19013155473423793
6.282Am^-2 2GHz0.19108177843861968
6.2829999999999995Am^-2 2GHz0.19201419909836842
6.284Am^-2 2GHz0.19292897908496068
6.285Am^-2 2GHz0.19382628053875162
6.286Am^-2 2GHz0.19470626606704466
6.287Am^-2 2GHz0.1955690995185667
6.288Am^-2 2GHz0.1964149471317343
6.289Am^-2 2GHz0.1972439789866804
6.29Am^-2 2GHz0.19805637107019516
6.2909999999999995Am^-2 2GHz0.19885230785209826
6.292Am^-2 2GHz0.1996319852556814
6.293Am^-2 2GHz0.20039561377282403
6.294Am^-2 2GHz0.20114342082455033
6.295Am^-2 2GHz0.20187565088634532
6.295999999999999Am^-2 2GHz0.20259256068145223
6.297Am^-2 2GHz0.2032944067762392
6.298Am^-2 2GHz0.20398142593936638
6.2989999999999995Am^-2 2GHz0.20465381946822167
6.3Am^-2 2GHz0.20531176123960623
6.301Am^-2 2GHz0.2059554279391644
6.302Am^-2 2GHz0.20658500664205637
6.303Am^-2 2GHz0.20720070943515326
6.304Am^-2 2GHz0.207803080945226
6.305Am^-2 2GHz0.20839350429728215
6.306Am^-2 2GHz0.2089736401376628
6.307Am^-2 2GHz0.2095442257610321
6.308Am^-2 2GHz0.21011302450067448
6.309Am^-2 2GHz0.2106904384064489
6.31Am^-2 2GHz0.2112545095341814
6.311Am^-2 2GHz0.21174409475698466
6.311999999999999Am^-2 2GHz0.21216318836182388
6.313Am^-2 2GHz0.21257309884772407
6.314Am^-2 2GHz0.21298995243611582
6.3149999999999995Am^-2 2GHz0.21340685366999737
6.316Am^-2 2GHz0.2138190674438357
6.317Am^-2 2GHz0.2142235577462236
6.318Am^-2 2GHz0.2146178912201707
6.319Am^-2 2GHz0.21500043320357398
6.32Am^-2 2GHz0.2153700502126493
6.321Am^-2 2GHz0.2157258371426254
6.322Am^-2 2GHz0.21606839444566278
6.323Am^-2 2GHz0.21639891563570662
6.324Am^-2 2GHz0.21671737050407097
6.324999999999999Am^-2 2GHz0.21702355186416283
6.326Am^-2 2GHz0.21731732916613042
6.327Am^-2 2GHz0.21759861917833162
6.327999999999999Am^-2 2GHz0.2178673715174974
6.329Am^-2 2GHz0.2181235611702263
6.33Am^-2 2GHz0.21836718193140447
6.3309999999999995Am^-2 2GHz0.21859824082187113
6.332Am^-2 2GHz0.21881675358687327
6.333Am^-2 2GHz0.21902274150449375
6.334Am^-2 2GHz0.21921622899939644
6.335Am^-2 2GHz0.21939724207427636
6.336Am^-2 2GHz0.21956580719548308
6.337Am^-2 2GHz0.2197219505055995
6.338Am^-2 2GHz0.21986569734559602
6.3389999999999995Am^-2 2GHz0.21999707186770484
6.34Am^-2 2GHz0.22011609682194147
6.340999999999999Am^-2 2GHz0.22022279340998965
6.342Am^-2 2GHz0.2203171811537303
6.343Am^-2 2GHz0.22039927786956254
6.343999999999999Am^-2 2GHz0.2204690996311293
6.345Am^-2 2GHz0.22052666074949365
6.346Am^-2 2GHz0.22057197383750035
6.3469999999999995Am^-2 2GHz0.22060504974889714
6.348Am^-2 2GHz0.22062589770453983
6.349Am^-2 2GHz0.22063452525814833
6.35Am^-2 2GHz0.2206309383977067
6.351Am^-2 2GHz0.22061514158247758
6.352Am^-2 2GHz0.22058713777513234
6.353Am^-2 2GHz0.22054692856330482
6.354Am^-2 2GHz0.22049451417842378
6.3549999999999995Am^-2 2GHz0.22042989358850393
6.356Am^-2 2GHz0.22035306457489712
6.356999999999999Am^-2 2GHz0.2202640238221708
6.358Am^-2 2GHz0.22016276697569923
6.359Am^-2 2GHz0.22004928873788662
6.359999999999999Am^-2 2GHz0.2199235829848365
6.361Am^-2 2GHz0.21978564284066945
6.362Am^-2 2GHz0.2196354607611307
6.3629999999999995Am^-2 2GHz0.2194730286776222
6.364Am^-2 2GHz0.21929833805911403
